Name,Code,Population
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,41700
Syrian Arab Republic,SYR,4573512
Turks and Caicos Islands,TCA,5726
Chad,TCD,3001593
East Asia & Pacific (IDA & IBRD countries),TEA,884594151
Europe & Central Asia (IDA & IBRD countries),TEC,308725388
Togo,TGO,1580513
Thailand,THA,27397175
Tajikistan,TJK,2087038
Turkmenistan,TKM,1603258
Latin America & the Caribbean (IDA & IBRD countries),TLA,210357620
Timor-Leste,TLS,499950
Middle East & North Africa (IDA & IBRD countries),TMN,97837766
Tonga,TON,61601
South Asia (IDA & IBRD),TSA,571857185
Sub-Saharan Africa (IDA & IBRD countries),TSS,228525517
Trinidad and Tobago,TTO,848479
Tunisia,TUN,4176266
Turkey,TUR,27472331
Tuvalu,TUV,6104
Tanzania,TZA,10074507
Uganda,UGA,6788214
Ukraine,UKR,42662149
Upper middle income,UMC,1169383343
Uruguay,URY,2538651
United States,USA,180671000
Uzbekistan,UZB,8549493
St. Vincent and the Grenadines,VCT,80949
Venezuela RB,VEN,8146847
British Virgin Islands,VGB,8033
Virgin Islands (U.S.),VIR,32000
Vietnam,VNM,34743000
Vanuatu,VUT,63699
World,WLD,3034193297
Samoa,WSM,108646
Kosovo,XKX,947000
Yemen Rep.,YEM,5172135
South Africa,ZAF,17396367
Zambia,ZMB,3044846
Zimbabwe,ZWE,3747369
